Teeth cleaning,Brackets (eg mini, plastic, ceramic brackets),Super elastic bows,Lingual retainer,Invisible dental splint (Invisalign),Internal braces (lingual technique),Eco friendly company,Stable contribution in old age,Treatment with private doctors,No/Low waiting period,Functional diagnostics,No/Low personal contribution
1,0,0,1,0,1,0,0,0,1,0,0
1,0,1,1,0,0,1,1,1,1,1,0
0,1,0,1,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,1,0,1
1,0,0,0,1,1,1,1,1,0,1,0
1,1,0,0,1,0,1,1,1,0,1,1
1,1,1,0,0,1,1,1,1,0,1,1
0,0,0,1,0,1,1,1,1,1,1,0
0,0,1,1,0,1,0,0,0,1,0,0
0,1,0,0,1,1,1,1,1,0,1,1
0,1,1,1,1,0,0,0,0,1,0,1
